Journal,Issn,Eissn,Description,Publisher,Societies,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Entrepreneurship Education and Pedagogy,25151274,25151274,"""Entrepreneurship Education & Pedagogy (EE&P) is USASBE’s peer reviewed opportunity for entrepreneurship educators to both publish their scholarship and showcase their practice. EE&P aims to provide a forum for the dissemination of research and learning innovations focused on educating the next generation of entrepreneurs. Conventional research relating to entrepreneurship pedagogy, andragogy and heutagogy is welcome, as is work that challenges convention. EE&P welcomes work related to entrepreneurship education and learning, broadly defined, from any discipline and at any educational level.

EE&P's editorial team is committed to ensuring research published in the journal is meaningful and impactful, and will use a developmental approach to work with authors throughout the review process so that they may communicate their ideas and insights to others in the most impactful manor. While EE&P's target audience are primarily university educators engaged in researching and teaching entrepreneurs, our broader audience includes educators from all disciplines, as well as administrators, consultants, trainers, K-12 teachers, and policy makers.

EE&P publishes multiple types of peer-reviewed content:

1. Research Articles: qualitative and/or quantitative studies, or theoretical or conceptual articles, exploring the field of entrepreneurship education and learning, broadly defined.

2. Learning Innovations: contemporary and experientially oriented teaching and learning approaches or exercises that contain both the requisite detail needed to replicate the innovation and evidence of its effectiveness.""",SAGE,"",https://us.sagepub.com/en-us/nam/entrepreneurship-education-and-pedagogy/journal203418#submission-guidelines,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Environment and Planning A: Economy and Space,0308-518X,1472-3409,"""Environment and Planning A: Economy and Space is a pluralist and heterodox journal of economic research, principally concerned with questions of urban and regional restructuring, globalization, inequality, and uneven development. International in outlook and interdisciplinary in spirit, the journal is positioned at the forefront of theoretical and methodological innovation, welcoming substantive and empirical contributions that probe and problematize significant issues of economic, social, and political concern, especially where these advance new approaches.""",SAGE,"",https://journals.sagepub.com/author-instructions/EPN,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
East European Politics and Societies,08883254,15338371,"""East European Politics and Societies (EEPS) is an international, interdisciplinary journal for the examination of critical issues related to Eastern Europe. It serves as a forum for current work in East Europe studies, including comparative analyses and theoretical issues with implications for other world areas. Its geographical scope is the area that lies between Germany to the west and Russia to the east, and includes the Baltic region and the Balkans. The editorial board is composed of distinguished historians, cultural historians, literary scholars, political scientists, anthropologists, and social scientists.""",SAGE,"",https://us.sagepub.com/en-us/nam/journal/east-european-politics-and-societies,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Energy & Environment,0958-305X,2048-4070,"""Energy & Environment is an interdisciplinary journal inviting energy policy analysts, natural scientists and engineers, as well as lawyers and economists to contribute to mutual understanding and learning, believing that better communication between experts will enhance the quality of policy, advance social well-being and help to reduce conflict.""",SAGE,"",https://journals.sagepub.com/author-instructions/EAE,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Emerging Media,2752-3543,2752-3551,"""The Journal will include high-quality work from the international community of scholars across the domain of relevant disciplines, free from any specific schools and/or particular paradigms. The Journal will avoid bias relating to age, gender identity, race, religion, and the like. In general, the scope of the journal includes the following three intertwined aspects: (1) media and technology; (2) industry and management; and (3) society and culture.""",SAGE,"",https://journals.sagepub.com/author-instructions/EMM,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Emerging Economy Studies,2394-9015,2454-2148,"""Emerging Economy Studies intends to provide intellectual space to scholars and practitioners working on diverse issues concerning emerging economies, who have something new to say. The journal invites contributions from scholars who are analyzing, corporate managers who are experiencing and policy makers who are participating in the processes of economic development and social changes that are happening in the emerging economies.""",SAGE,"",https://journals.sagepub.com/author-instructions/EMI,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Dramatherapy,02630672,21571430,"""Dramatherapy (DJ) is an established international journal that presents the most recent developments in the field of dramatherapy theory, practice, and research, and promotes the advancement of the profession worldwide. It provides a platform for dynamic dialogues with related disciplines whilst encouraging critical, open, diverse and creative thinking.""",Intellect,"",https://www.intellectbooks.com/dramatherapy,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Educational Management Administration & Leadership,1741-1432,1741-1440,"""Educational Management, Administration and Leadership is an international peer-reviewed journal which publishes original and significant contributions on educational administration, management and leadership, in its widest sense, from all over the world. This includes primary research projects located in schools, and in further, vocational and higher education institutions.""",SAGE,"",https://journals.sagepub.com/author-instructions/EMA,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Discourse Studies,1461-4456,1461-7080,"""Discourse Studies is a multidisciplinary peer-reviewed journal for the study of text and talk. Publishing outstanding work on the structures and strategies of written and spoken discourse, special attention is given to cross-disciplinary studies of text and talk in linguistics, anthropology, ethnomethodology, cognitive and social psychology, communication studies and law.""",SAGE,"",https://journals.sagepub.com/author-instructions/DIS,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Education and Urban Society,0013-1245,1552-3535,"""Education and Urban Society (EUS) is a multidisciplinary journal that examines the role of education as a social institution in an increasingly urban and multicultural society. To this end, EUS publishes articles exploring the functions of educational institutions, policies, and processes in light of national concerns for improving the environment of urban schools that seek to provide equal educational opportunities for all students. EUS welcomes articles based on practice and research with an explicit urban context or component that examine the role of education from a variety of perspectives including, but not limited to, those based on empirical analyses, action research, and ethnographic perspectives as well as those that view education from philosophical, historical, policy, and/or legal points of view.""",SAGE,"",https://journals.sagepub.com/author-instructions/EUS,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Discourse & Communication,1750-4813,1750-4821,"""Discourse & Communication is an international, peer-reviewed journal that publishes articles in the cross-disciplinary fields of discourse studies and communication studies. Published quarterly, it focuses on the qualitative, discourse analytical study of organizational and mass communication.""",SAGE,"",https://journals.sagepub.com/author-instructions/DCM,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Economic and Industrial Democracy,0143-831X,1461-7099,"""Economic and Industrial Democracy is an international peer-reviewed journal that focuses on the study of initiatives designed to enhance the quality of working life through extending the democratic control of workers over the workplace and the economy. How those initiatives are affected by wider political, economic and technological factors are also of interest. Special emphasis is laid on international coverage of empirical material, including discussions of the social and economic conditions in various countries.""",SAGE,"",https://journals.sagepub.com/author-instructions/EID,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Earthquake Spectra,8755-2930,1944-8201,"""EERI established Earthquake Spectra with the purpose of improving the practice of earthquake hazards mitigation, preparedness, and recovery — serving the informational needs of the diverse professionals engaged in earthquake risk reduction: civil, geotechnical, mechanical, and structural engineers; geologists, seismologists, and other earth scientists; architects and city planners; public officials; social scientists; and researchers.""",SAGE,"",https://journals.sagepub.com/author-instructions/EQS,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
E-Learning and Digital Media,2042-7530,2042-7530,"""E-Learning and Digital Media is a journal that publishes high-quality research articles and scholarly work in various fields. Our mission is to provide a platform for researchers to share their findings, theories, and modern methodologies with the academic community and beyond. We encourage interdisciplinary and specialized research that focuses on specific disciplines or interdisciplinary topics, aiming to foster collaboration and knowledge exchange among researchers from different fields.""",SAGE,"",https://journals.sagepub.com/author-instructions/LDM,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
"Drug Science, Policy and Law",2050-3245,2050-3245,"""A peer-reviewed journal of science, policy and law relating to drugs, Drug Science, Policy and Law is international in scope and grounded in a rigorous evidence base making it essential reading for all those in the field and related disciplines.""",SAGE,"",https://journals.sagepub.com/author-instructions/DSP,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,1,"""The relevant EQUATOR Network reporting guidelines should be followed depending on the type of study. For example, all randomized controlled trials submitted for publication should include a completed CONSORT flow chart as a cited figure and the completed CONSORT checklist should be uploaded with your submission as a supplementary file.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,1
"DIY, Alternative Cultures & Society",2753-8702,2753-8702,"""DIY, Alternative Cultures and Society is the first academic journal dedicated to the theme of DIY (do-it-yourself) and alternative cultures. It is a fully peer reviewed international journal that publishes original research and review articles focusing on all aspects of DIY and alternative cultural practice and consumption in a global context. The journal caters to a rapidly growing demand from an international community of scholars whose work focuses on a broad range of DIY cultural practices.""",SAGE,"",https://journals.sagepub.com/author-instructions/DIY,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
DIGITAL HEALTH,2055-2076,2055-2076,"""DIGITAL HEALTH focuses on healthcare in the digital world, bridging the evolution of advances in informatics and technology in medicine, health and all aspects of health care with the application of these developments in clinical practice, the patient experience, and their social, political and economic implications.""",SAGE,"",https://journals.sagepub.com/author-instructions/DHJ,0,No mention,0,No mention,0,No mention,0,No mention,1,"""The relevant EQUATOR Network reporting guidelines should be followed depending on the type of study. For example, all randomized controlled trials submitted for publication should include a completed CONSORT flow chart as a cited figure and the completed CONSORT checklist should be uploaded with your submission as a supplementary file.""",0,"""DIGITAL HEALTH conforms to the ICMJE requirement that clinical trials are registered in a WHO-approved public trials registry at or before the time of first patient enrolment as a condition of consideration for publication.""",0,No mention,0,No mention,0,No mention,0,No mention,1
Dialogues in Urban Research,2754-1258,2754-1258,"""Dialogues in Urban Research is intended to stimulate open and critical debate on the philosophical, methodological and pedagogic foundations of urban theory and praxis. It will publish articles, with responses, which seek to critique present thinking and praxis and set the agenda for future avenues of urban thought, empirical research and pedagogy.""",SAGE,"","",0,"""Authors should also follow data citation principles."" Does not include examples.",0,"""Where relevant, Dialogues in Urban Research encourages authors to share their research data in a suitable public repository subject to ethical considerations and where data is included, to add a data accessibility statement in their manuscript file.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Dialogues in Human Geography,2043-8206,2043-8214,"""The primary aim of Dialogues in Human Geography is to stimulate open and critical debate on the philosophical, methodological and pedagogic foundations of geographical thought and praxis. It publishes research articles, with commentaries and author responses, which seek to critique present thinking and praxis and to set the agenda for future avenues of geographical thought, empirical research and pedagogy. Dialogues is theoretical in orientation, forward looking, and seeks to publish original and innovative work that pushes the boundaries of geographical theory, praxis and pedagogy through a unique (in Geography) and innovative format of open peer commentary.""",SAGE,"",https://journals.sagepub.com/author-instructions/DHG,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Developmental Child Welfare,2516-1032,2516-1040,"""The broad aim of the journal is to advance our understanding of the development, health (including mental health) and well-being of children and adolescents exposed to severe social adversity throughout the world, specifically maltreated children and adolescents who remain in their parents’ care, and those subsequently placed in alternative forms of care – as well as the long-term impact that these experiences have on adult development and the development of subsequent generations.""",SAGE,"",https://journals.sagepub.com/author-instructions/DCW,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Evidence-Based Toxicology,"",2833-373X,"""Evidence-Based Toxicology is a gold open-access journal that publishes manuscripts utilising or advancing evidence-based methods in the toxicological and human environmental health sciences. It is the official journal of the Evidence-Based Toxicology Collaboration.""",Taylor & Francis,"",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tebt20,1,"""Authors are required to cite any data sets referenced in the article and provide a Data Availability Statement.""",2,"""Data and code must be deposited in a recognized data repository prior to or at the time of submission. You will be asked to provide the DOI, pre-reserved DOI, or other persistent identifier for the data set.""",2,"""Data and code must be deposited in a recognized data repository prior to or at the time of submission. You will be asked to provide the DOI, pre-reserved DOI, or other persistent identifier for the data set.""",1,"""Authors are required to make the data and materials supporting the results or analyses presented in their paper freely available."" Does not explicitly state if materials should go into an open repository.",0,No mention,0,"Offers the Preregistration Badge, but does not have an explicit preregistration policy.",0,No mention,0,No mention,0,No mention,2,"""Badges are offered as incentives for researchers to share data, materials, or to preregister, and are a signal to the reader that the content of the study has been made available in perpetuity.""",8
Currents in Biblical Research,1476-993X,1745-5200,"""This peer-reviewed journal summarizes the spectrum of recent research on particular topics or biblical books. Each article provides an inclusive treatment of its subject, without in most cases being exhaustive. Articles cover specific biblical books or clusters of books, ancillary ancient literature, archaeology, historical studies, as well as new and developing areas of study. Each article concludes with an extensive bibliography that provides a basic knowledge of significant articles and books on the topic being treated, and provides sufficient information to launch a thorough investigation of the topic.""",SAGE,"",https://journals.sagepub.com/author-instructions/CBI,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Current Sociology,0011-3921,1461-7064,"""Current Sociology is a fully peer-reviewed, international journal that publishes original research and innovative critical commentary both on current debates within sociology as a developing discipline, and the contribution that sociologists can make to understanding and influencing current issues arising in the development of modern societies in a globalizing world.""",SAGE,"",https://journals.sagepub.com/author-instructions/CSI,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Cultures of Science,2096-6083,2633-3287,"""Cultures of Science is an international journal that provides a platform for interdisciplinary research on all aspects of the intersections between culture and science.""",SAGE,"",https://journals.sagepub.com/author-instructions/CUL,0,No mention,0,No mention,0,No mention,0,No mention,1,"""The relevant EQUATOR Network reporting guidelines should be followed depending on the type of study."" Followed by examples.",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,1
Cultural Dynamics,0921-3740,1461-7048,"""Cultural Dynamics is a peer reviewed journal that seeks to publish research - and occasionally other materials such as interviews, documents and literary creations - focused on the structured inequalities of the contemporary world, and the myriad ways people negotiate these conditions.""",SAGE,"",https://journals.sagepub.com/author-instructions/CDY,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Critique of Anthropology,0308-275X,1460-3721,"""Critique of Anthropology is a peer reviewed journal, dedicated to the development of anthropology as a discipline that subjects social reality to critical analysis. It publishes academic articles and other materials which contribute to an understanding of the determinants of the human condition, structures of social power, and the construction of ideologies in both contemporary and past human societies from a cross-cultural and socially critical standpoint.""",SAGE,"",https://journals.sagepub.com/author-instructions/COA,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Critical Sociology,0896-9205,1569-1632,"""Critical Sociology is an international peer reviewed journal that publishes the highest quality original research. The journal seeks to engage and promote critical thinking by publishing articles from all perspectives broadly defined as falling within the boundaries of critical or radical social science.""",SAGE,"",https://journals.sagepub.com/author-instructions/CRS,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Critical Social Policy,0261-0183,1461-703X,"""Critical Social Policy provides a space for critical approaches to the production, development and receipt of social policy and welfare. By engaging with issues rooted in political, economic, social and cultural power the journal interrogates conventional approaches to social policy and offers alternative and critically informed perspectives. In keeping with the commitment to confronting hierarchical ways of functioning that inevitably lead to unequal power positions, Critical Social Policy operates as a collective.""",SAGE,"",https://journals.sagepub.com/author-instructions/CSP,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
Critical Research on Religion,2050-3032,2050-3040,"""Critical Research on Religion is a peer-reviewed, international journal focusing on the development of a critical theoretical framework and its application to research on religion. It provides a common venue for those engaging in critical analysis in theology and religious studies, as well as for those who critically study religion in the other social sciences and humanities such as philosophy, sociology, anthropology, psychology, history, and literature.""",SAGE,"",https://journals.sagepub.com/author-instructions/CRR,0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: cite this data in your research.""",0,"""Subject to appropriate ethical and legal considerations, authors are encouraged to: share your research data in a relevant public data repository; include a data availability statement linking to your data. If it is not possible to share your data,we encourage you to consider using the statement to explain why it cannot be shared.""",0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0,No mention,0
